Contact Organization,Contact Name,Role,Email,Source,Outreach Type,Date Sent,Response,Follow-up Date,Status,Notes
Therapy for Black Girls,Joy Harden Bradford,Host,info@therapyforblackgirls.com,Podcast Feedspot,Podcast Guest,,,,Pending,
The Dr. John Delony Show,Dr. John Delony,Host,questions@ramseysolutions.com,Podcast Feedspot,Podcast Guest,,,,Pending,
The Dr. Leaf Show,Dr. Caroline Leaf,Host,contact@drleaf.com,Podcast Feedspot,Podcast Guest,,,,Pending,
Ten Percent Happier,Dan Harris,Host,guests@tenpercenthappier.com,Podcast Feedspot,Podcast Guest,,,,Pending,
Mental Health America,,Partnership,hello@mhanational.org,Organization Website,Partnership,,,,Pending,
Lyra Health,,Sales,sales@lyrahealth.com,Company Website,B2B Partnership,,,,Pending,
Spring Health,,Sales,hello@springhealth.com,Company Website,B2B Partnership,,,,Pending,
Modern Health,,Sales,hello@modernhealth.com,Company Website,B2B Partnership,,,,Pending,
Headspace Health,,B2B,partners@headspace.com,Company Website,B2B Partnership,,,,Pending,
Ginger,,Sales,hello@ginger.io,Company Website,B2B Partnership,,,,Pending,
Calm Business,,Sales,business@calm.com,Company Website,B2B Partnership,,,,Pending,
Unmind,,Sales,hello@unmind.com,Company Website,B2B Partnership,,,,Pending,
